Scent, timeToObject, timeonwrong, timeoncorrect
Pine(Clone),0.9334779,0,11.07832
Citrus(Clone),2.07759,0.4561236,6.649985
Rose(Clone),2.267268,0.6665453,9.744925
Cinnamon(Clone),3.710481,0,8.311639
