Scent, timeToObject, timeonwrong, timeoncorrect
Pine(Clone),0.8116103,2.166791,1.833631
Citrus(Clone),2.444292,0.9109141,2.566624
Rose(Clone),0.9003228,2.188674,1.589013
Cinnamon(Clone),1.222367,3.277724,0.1005818
